Код,"Наименование специальности, направление подготовки",Уровень образования,Реализуемые формы обучения,Описание ООП,Учебный план,Аннотации рабочих программ дисциплин с приложением копий,Календарный учебный график,Методические и иные документы,Информации о практиках,Использование электронного обучения
05.06.01,"Науки о земле (направленность ""Физическая география и биогеография, география почв и геохимия ландшафтов"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332091/%D0%9E%D0%9E%D0%9F_09.06.01_05.13.17_%D0%A2%D0%9E%D0%98_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о НИР-семинаре аспирантов.pdfПоложение о науч руководителе аспирантаПоложение о НИР аспирантов,Практики,Да
06.06.01,"Биологические науки (направленность ""Биохимия"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331980/%D0%9E%D0%9E%D0%9F_09.06.01_05.13.17_%D0%A2%D0%9E%D0%98_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
06.06.01,"Биологические науки (направленность ""Ботаника"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1332062/%D0%9E%D0%9E%D0%9F_09.06.01_05.13.10_%D0%A3%D0%B2%D0%A1%D0%B8%D0%AD%D0%A1_2019.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
06.06.01,"Биологические науки (направленность ""Генетика"")",высшее образование – подготовка кадров высшей квалификации,заочная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1331951/%D0%9E%D0%9E%D0%9F_09.06.01_05.13.10_%D0%A3%D0%B2%D0%A1%D0%B8%D0%AD%D0%A1_2019.pdf,Нет,Аннотация к ООП,Нет,Положение о ГИА,Практики,Да
06.06.01,"Биологические науки (направленность ""Генетика"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1357455/%D0%9E%D0%9E%D0%9F%2011.06.01%20%D0%AD%D0%A0%D0%B8%D0%A1%D0%A1%203%2B%20%D0%A2%D0%AD%20%20%D0%BD%D0%B0%D0%B1%D0%BE%D1%80%D0%B0%202020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
06.06.01,"Биологические науки (направленность ""Энтомология"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1347616/%D0%9E%D0%9E%D0%9F_14.04.03_%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F%20%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D0%B5%D0%B2%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B3%D0%BE%20%D0%B4%D0%B5%D0%BB%D0%B0.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИА,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Математическое моделирование, численные методы и комплексы программ"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1386771/%D0%9E%D0%9E%D0%9F_33.06.01%20%D0%A4%D0%B0%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F%2C%2014.03.06%20%D1%84%D0%B0%D1%80%D0%BC%D0%B0%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F%2C%D0%BA%D0%BB%D0%B8%D0%BD.%D1%84%D0%B0%D1%80%D0%BC%20%D0%B7%D0%B0%D0%BE%D1%87%D0%BD%D0%BE%D0%B5%202020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Математическое моделирование, численные методы и комплексы программ"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1270614/%D0%A4%D0%A5%202020_%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D1%8B%D0%B9%20%D0%B2%D0%B0%D1%80%D0%B8%D0%B0%D0%BD%D1%82.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Системный анализ, управление и обработка информации (по отраслям)"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1333296/%D0%9E%D0%9E%D0%9F_38.06.01_%D0%AD%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B0_%D0%AD%D0%B8%D0%A3%D0%9D%D0%A5_%D0%97%D0%9E_2020.pdf,Уч. план ООП,Аннотация к ООП,Уч. график ООП,Положение о ГИАПоложение о научном руководителе аспирантаПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
09.06.01,"Информатика и вычислительная техника (направленность ""Системный анализ, управление и обработка информации (по отраслям)"")",высшее образование – подготовка кадров высшей квалификации,очная,https://edu.vsu.ru/pluginfile.php/64314/mod_data/content/1333262/%D0%9E%D0%9E%D0%9F_38.06.01_%D0%AD%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B0_%D0%AD%D0%B8%D0%A3%D0%9D%D0%A5_%D0%94%D0%9E_2020.pdf,Уч. план АОП,Аннотация к АОП,Уч. график АОП,Положение о ГИАПоложение о научных исследованиях аспирантовПоложение о НИС аспирантов,Практики,Да
